player_id,Player_Name,Matches_Played,Kills,Deaths,Assists,Damage_Dealt,Headshots,Wins,Top_10s,Revives,Distance_Traveled,Weapons_Used,Time_Survived,Rank
P00,StealthMaster,250,587,143,98,15243,234,32,145,67,72560,12,28976,Gold
P01,SniperLion,312,823,218,112,18975,312,42,189,95,89042,15,33652,Diamond
P02,NinjaGamer,186,492,84,56,11786,156,28,97,48,60924,10,21764,Platinum
P03,ThunderStrike,409,923,267,134,21037,288,55,258,128,98234,18,40128,Silver
P04,SpeedDemon,143,368,68,42,9865,123,20,72,36,52072,8,16834,Gold
P05,BlazeFury,288,642,156,74,14238,189,35,129,57,68894,11,27345,Platinum
P06,RapidShadow,201,539,93,68,12689,165,26,89,42,59871,9,21986,Gold
P07,Frostbite,178,421,105,63,10572,147,18,68,39,52590,8,18743,Silver
P08,SavageQueen,332,748,193,122,17654,272,47,211,89,78216,14,32598,Diamond
P09,SwiftStriker,194,511,87,58,13579,182,23,83,51,56978,9,24173,Platinum
P10,VenomousViper,210,566,132,71,13985,187,27,98,46,58647,10,22764,Platinum
P11,PhoenixFury,288,742,188,104,16982,248,41,137,69,66298,12,27846,Diamond
P12,SteelStorm,176,448,83,52,10374,142,18,67,32,49876,8,19632,Silver
P13,BlazingBlade,313,789,211,123,18876,275,44,163,72,72985,13,30745,Diamond
P14,StormChaser,257,674,158,95,15482,212,36,119,58,64279,11,26987,Platinum
P15,Frostbite,197,501,105,64,11634,149,25,85,43,57401,10,21345,Gold
P16,Nightmare,288,713,174,118,16648,236,39,138,64,67845,12,28834,Diamond
P17,CrimsonTide,224,589,124,88,14257,195,31,105,53,59875,11,24167,Platinum
P18,SilentShadow,193,483,99,63,11968,155,22,78,40,53481,10,21856,Gold
P19,VengefulViper,212,576,134,76,14398,197,28,100,50,57698,10,23457,Platinum
P20,SolarFlare,250,641,158,102,15734,221,37,130,61,62892,11,26376,Diamond
P21,SkyDancer,195,502,108,66,12683,169,24,83,42,55581,9,22568,Gold
P22,RogueWraith,267,724,186,119,17092,253,40,146,68,67791,13,28356,Diamond
P23,LethalLynx,223,612,132,87,15234,211,32,111,55,60987,11,25467,Platinum
P24,FrostFang,204,529,104,70,13642,178,29,96,48,57645,10,23589,Gold
P25,ScarletStrider,256,659,159,98,15679,224,35,116,57,63482,11,26346,Platinum
P26,RagingRaptor,271,698,167,111,16589,240,37,130,62,66934,12,27789,Platinum
P27,ShadowWisp,198,517,101,63,12465,172,23,81,43,54497,9,21365,Gold
P28,VenomStrike,223,593,136,84,14275,201,31,105,53,58876,10,24257,Platinum
P29,FireFury,268,702,185,123,16587,231,36,126,60,65487,12,27346,Diamond
P30,VenomousViper,210,566,132,71,13985,187,27,98,46,58647,10,22764,Platinum
P31,PhoenixFury,288,742,188,104,16982,248,41,137,69,66298,12,27846,Diamond
P32,SteelStorm,176,448,83,52,10374,142,18,67,32,49876,8,19632,Silver
P33,BlazingBlade,313,789,211,123,18876,275,44,163,72,72985,13,30745,Diamond
P34,StormChaser,257,674,158,95,15482,212,36,119,58,64279,11,26987,Platinum
P35,Frostbite,197,501,105,64,11634,149,25,85,43,57401,10,21345,Gold
P36,Nightmare,288,713,174,118,16648,236,39,138,64,67845,12,28834,Diamond
P37,CrimsonTide,224,589,124,88,14257,195,31,105,53,59875,11,24167,Platinum
P38,SilentShadow,193,483,99,63,11968,155,22,78,40,53481,10,21856,Gold
P39,VengefulViper,212,576,134,76,14398,197,28,100,50,57698,10,23457,Platinum
P40,SolarFlare,250,641,158,102,15734,221,37,130,61,62892,11,26376,Diamond
P41,SkyDancer,195,502,108,66,12683,169,24,83,42,55581,9,22568,Gold
P42,RogueWraith,267,724,186,119,17092,253,40,146,68,67791,13,28356,Diamond
P43,LethalLynx,223,612,132,87,15234,211,32,111,55,60987,11,25467,Platinum
P44,FrostFang,204,529,104,70,13642,178,29,96,48,57645,10,23589,Gold
P45,ScarletStrider,256,659,159,98,15679,224,35,116,57,63482,11,26346,Platinum
P46,RagingRaptor,271,698,167,111,16589,240,37,130,62,66934,12,27789,Platinum
P47,ShadowWisp,198,517,101,63,12465,172,23,81,43,54497,9,21365,Gold
P48,VenomStrike,223,593,136,84,14275,201,31,105,53,58876,10,24257,Platinum
P49,FireFury,268,702,185,123,16587,231,36,126,60,65487,12,27346,Diamond
P50,VenomousViper,210,566,132,71,13985,187,27,98,46,58647,10,22764,Platinum
P51,PhoenixFury,288,742,188,104,16982,248,41,137,69,66298,12,27846,Diamond
P52,SteelStorm,176,448,83,52,10374,142,18,67,32,49876,8,19632,Silver
P53,BlazingBlade,313,789,211,123,18876,275,44,163,72,72985,13,30745,Diamond
P54,StormChaser,257,674,158,95,15482,212,36,119,58,64279,11,26987,Platinum
P55,Frostbite,197,501,105,64,11634,149,25,85,43,57401,10,21345,Gold
P56,Nightmare,288,713,174,118,16648,236,39,138,64,67845,12,28834,Diamond
P57,CrimsonTide,224,589,124,88,14257,195,31,105,53,59875,11,24167,Platinum
P58,SilentShadow,193,483,99,63,11968,155,22,78,40,53481,10,21856,Gold
P59,VengefulViper,212,576,134,76,14398,197,28,100,50,57698,10,23457,Platinum
P60,SolarFlare,250,641,158,102,15734,221,37,130,61,62892,11,26376,Diamond
P61,SkyDancer,195,502,108,66,12683,169,24,83,42,55581,9,22568,Gold
P62,RogueWraith,267,724,186,119,17092,253,40,146,68,67791,13,28356,Diamond
P63,LethalLynx,223,612,132,87,15234,211,32,111,55,60987,11,25467,Platinum
P64,FrostFang,204,529,104,70,13642,178,29,96,48,57645,10,23589,Gold
P65,ScarletStrider,256,659,159,98,15679,224,35,116,57,63482,11,26346,Platinum
P66,RagingRaptor,271,698,167,111,16589,240,37,130,62,66934,12,27789,Platinum
P67,ShadowWisp,198,517,101,63,12465,172,23,81,43,54497,9,21365,Gold
P68,VenomStrike,223,593,136,84,14275,201,31,105,53,58876,10,24257,Platinum
P69,FireFury,268,702,185,123,16587,231,36,126,60,65487,12,27346,Diamond
P70,VenomousViper,210,566,132,71,13985,187,27,98,46,58647,10,22764,Platinum
P71,PhoenixFury,288,742,188,104,16982,248,41,137,69,66298,12,27846,Diamond
P72,SteelStorm,176,448,83,52,10374,142,18,67,32,49876,8,19632,Silver
P73,BlazingBlade,313,789,211,123,18876,275,44,163,72,72985,13,30745,Diamond
P74,StormChaser,257,674,158,95,15482,212,36,119,58,64279,11,26987,Platinum
P75,Frostbite,197,501,105,64,11634,149,25,85,43,57401,10,21345,Gold
P76,Nightmare,288,713,174,118,16648,236,39,138,64,67845,12,28834,Diamond
P77,CrimsonTide,224,589,124,88,14257,195,31,105,53,59875,11,24167,Platinum
P78,SilentShadow,193,483,99,63,11968,155,22,78,40,53481,10,21856,Gold
P79,VengefulViper,212,576,134,76,14398,197,28,100,50,57698,10,23457,Platinum
P80,SolarFlare,250,641,158,102,15734,221,37,130,61,62892,11,26376,Diamond
P81,SkyDancer,195,502,108,66,12683,169,24,83,42,55581,9,22568,Gold
P82,RogueWraith,267,724,186,119,17092,253,40,146,68,67791,13,28356,Diamond
P83,LethalLynx,223,612,132,87,15234,211,32,111,55,60987,11,25467,Platinum
P84,FrostFang,204,529,104,70,13642,178,29,96,48,57645,10,23589,Gold
P85,ScarletStrider,256,659,159,98,15679,224,35,116,57,63482,11,26346,Platinum
P86,RagingRaptor,271,698,167,111,16589,240,37,130,62,66934,12,27789,Platinum
P87,ShadowWisp,198,517,101,63,12465,172,23,81,43,54497,9,21365,Gold
P88,VenomStrike,223,593,136,84,14275,201,31,105,53,58876,10,24257,Platinum
P89,FireFury,268,702,185,123,16587,231,36,126,60,65487,12,27346,Diamond
P90,BlazingSun,263,692,158,89,16273,207,39,132,63,64402,12,27689,Platinum
P91,ShadowStrike,215,562,96,74,13452,163,30,101,47,56623,10,23184,Gold
P92,SteelGuardian,289,703,175,101,17481,222,37,134,59,68937,11,29673,Diamond
P93,WickedWitch,176,387,78,47,9867,127,21,69,35,49785,9,19876,Silver
P94,RuthlessRaptor,336,826,222,139,20357,278,48,178,76,75894,15,31984,Diamond
P95,FrostyFox,197,501,105,64,11634,149,25,85,43,57401,10,21345,Gold
P96,ViperVenom,221,621,154,86,14598,193,29,102,48,60986,11,24872,Platinum
P97,CrimsonReaper,278,719,185,118,16678,218,36,128,62,68591,13,29145,Platinum
P98,PhantomGhost,185,471,91,55,11876,138,22,74,37,52103,9,20763,Gold
